Contents Table						Header Table			Marker Table													Summary Table										Stimulus Table				Data Table																																																					
Table	Left	Top	Right	Bottom		Parameter	Value		Group	Name	Cage #	Age	Date	S	C	R	Eye	Name	uV	ms		Subject	Cage #	Step	Result	Eye	Trials	Rejects	Date	Comment		Step	Description	cd.s/m²		Step	Column	Chan	Result	Column	Trials	Step 1	Chan 1		Chan 2		Chan 3		Chan 4		Step 2	Chan 1			Chan 2			Chan 3			Chan 4			Step 3	Chan 1	Chan 2	Chan 3	Chan 4	Step 4	Chan 1	Chan 2	Chan 3	Chan 4	Step 5	Chan 1	Chan 2	Chan 3	Chan 4	Step 6	Chan 1	Chan 2	Chan 3	Chan 4	Step 7	Chan 1	Chan 2	Chan 3	Chan 4	
																																										115.5	2742.212890625	5004.4609375	-4313.21484375	-11026.390625	785.059326171875	831.756713867188	854.734191894531	997.70703125	115.5	17520.939453125	11783.9462890625	-1826.4853515625	20291.81640625	10128.4921875	2685.6474609375	2590.3642578125	2806.40747070313	-2733.650390625	6215.82861328125	-2392.75415039063	2553.47924804688	115.5	315706.21875	559577.875	1823.5107421875	-2750.58642578125	115.5	206247.015625	417835.34375	2818.7490234375	-2200.49267578125	115.5	234719.171875	489803.40625	-4905.0078125	-6170.34814453125	115.5	255506.984375	536560.625	3495.546875	-4760.8984375	115.5	15978.37890625	21736.8046875	44.3550415039063	-4013.39965820313	
																																										116	1100.1015625	3681.109375	-5073.4140625	-10039.96875	-715.278381347656	-841.522216796875	355.444580078125	1588.20739746094	116	16514.603515625	14027.525390625	-633.6083984375	15477.55859375	6763.61328125	4153.169921875	805.75390625	3005.62817382813	-162.90576171875	512.935607910156	-4756.76708984375	4254.8486328125	116	314296.03125	558404.5	2015.14916992188	438.202392578125	116	203927.703125	419861.21875	2821.7158203125	3869.310546875	116	233668.796875	485060.625	-2677.3671875	-5879.90380859375	116	253261.421875	529936.3125	1367.3095703125	-7871.8076171875	116	14963.6748046875	21018.046875	-1052.58544921875	-3760.6201171875	
																																										116.5	-1042.6953125	3040.609375	-6085.8984375	-8879.3203125	-2474.75073242188	-1780.87805175781	-460.74951171875	2222.27075195313	116.5	16321.634765625	15271.90625	386.734375	12275.12109375	2903.744140625	2218.291015625	-401.15283203125	2427.60107421875	1844.03735351563	-4346.24267578125	-6804.869140625	2582.05053710938	116.5	312910	556820.375	2833.484375	3327.5400390625	116.5	197130.078125	418069.125	-1115.28930664063	6012.4501953125	116.5	231034.859375	478648.8125	-1749.99658203125	-6683.48046875	116.5	249482.640625	522555.6875	-1613.33703613281	-11583.6328125	116.5	14462.28515625	21386.71875	-1525.28051757813	-2323.60546875	
																																										117	-1509.12890625	3395.0078125	-7013.73046875	-9250.453125	-2666.72680664063	-1563.13293457031	-1107.84155273438	1621.60021972656	117	16456.71484375	15654.02734375	836.8134765625	13018.802734375	417.802734375	-842.89697265625	-931.56787109375	1096.27880859375	2731.30517578125	-5060.4404296875	-7088.81494140625	-526.643371582031	117	309769.875	554022.1875	2415.94482421875	4457.4716796875	117	189782.5625	411157.71875	-5656.1318359375	2758.4755859375	117	228284.59375	472903.65625	-1559.91040039063	-7125.74267578125	117	245206.75	515999.59375	-4365.2666015625	-13846.0947265625	117	14686.583984375	21936.453125	-1180.64184570313	-735.569274902344	
																																										117.5	278.63671875	2955.9140625	-7023.60546875	-10996.0546875	-756.586853027344	-1534.96801757813	-882.907592773438	-155.284057617188	117.5	17837.5546875	15065.974609375	656.0830078125	12029.6875	1358.6044921875	-2409.81396484375	-237.576843261719	-841.718627929688	2554.95825195313	-5322.2294921875	-4251.16650390625	-2293.48315429688	117.5	305876.0625	549189.375	1121.44055175781	3215.77563476563	117.5	186638.328125	404800.15625	-6348.0927734375	-1123.31323242188	117.5	227435.734375	469496.34375	-493.800537109375	-5791.52734375	117.5	241920.328125	512410.5625	-5566.42919921875	-12853.60546875	117.5	15568.83203125	21354.53125	-224.165161132813	-282.47412109375	
																																										118	2062.107421875	682.0234375	-5603.0078125	-12912.7109375	1330.79736328125	-2733.5966796875	535.890380859375	-1960.86450195313	118	21276.38671875	13752.705078125	-533.1123046875	8082.638671875	4810.8984375	-1638.5009765625	2025.68176269531	-2946.10986328125	1366.6943359375	-7101.50146484375	623.786865234375	-1566.5703125	118	301814.46875	541171.125	-331.56396484375	-675.251220703125	118	186204.6875	402533.625	-3766.037109375	-1580.60766601563	118	227414.03125	465981.9375	972.41357421875	-4354.1591796875	118	240049.34375	512086.1875	-4894.4267578125	-8737.3876953125	118	16476.91796875	19776.9609375	668.5693359375	-985.499755859375	
																																										118.5	1801.076171875	-2180.1484375	-3728.068359375	-13246.5078125	1554.12512207031	-4310.6259765625	2243.09008789063	-2207.869140625	118.5	23455.89453125	12832.939453125	-1806.5009765625	4782.4619140625	7769.53515625	568.8916015625	3262.85693359375	-4220.5595703125	107.145568847656	-8278.380859375	4559.20361328125	762.208312988281	118.5	299022.0625	531858.625	-634.410705566406	-5199.89013671875	118.5	183963.453125	400899.3125	-1945.529296875	-479.102294921875	118.5	227087.796875	460517.21875	1841.5205078125	-4568.8671875	118.5	239205.75	511240.34375	-2993.5341796875	-4997.85888671875	118.5	16107.3828125	18753.9296875	411.189331054688	-1506.56591796875	
																																										119	548.380859375	-4124.7421875	-2027.08984375	-11050.1953125	442.976013183594	-4873.748046875	3428.72045898438	-163.380401611328	119	20171.375	12574.0703125	-1548.384765625	2287.681640625	9186.021484375	2370.748046875	145.37060546875	-4362.26904296875	177.211410522461	-8270.0087890625	6075.01611328125	2693.572265625	119	297491.875	525756.4375	328.753997802734	-6457.21484375	119	179729.984375	395896.5625	-2117.6171875	-1434.22900390625	119	225262.515625	453438.09375	1108.27978515625	-6352.7294921875	119	239386.328125	506576.0625	-427.469146728516	-4895.4375	119	14493.4658203125	18929.4296875	-992.380981445313	-1039.29614257813	
																																										119.5	-59.67578125	-3525.4453125	-892.27734375	-8261.0234375	-405.303314208984	-3125.8564453125	3664.40673828125	2457.81323242188	119.5	11933.646484375	12530.732421875	-377.9345703125	-1387.9599609375	9381.9453125	2605.6796875	-6789.98583984375	-3845.08251953125	1230.47729492188	-8415.0546875	5469.3232421875	2864.578125	119.5	294957.15625	523928.1875	741.270263671875	-3371.33642578125	119.5	176565.984375	389061.875	-2182.9111328125	-4036.91625976563	119.5	219130.171875	446960.84375	-3003.02954101563	-7771.619140625	119.5	240696.25	500908	2447.27319335938	-6631.62255859375	119.5	12778.51953125	19546.1875	-2452.6513671875	-89.9796142578125	
																																										120	-158.51171875	-438.5390625	-1217.033203125	-7108.4765625	-611.809997558594	654.186950683594	2454.6533203125	3435.71923828125	120	5457.947265625	12315.34375	1276.126953125	-5511.517578125	8592.0703125	1538.7421875	-11744.6015625	-3249.2138671875	2614.59643554688	-8540.3759765625	3551.72314453125	1470.67077636719	120	291042.53125	522795.78125	-55.9558258056641	829.249938964844	120	174485.390625	382913.625	-1519.55920410156	-6074.08349609375	120	210536.875	442454.53125	-8781.5625	-7369.4033203125	120	240644.390625	497735.28125	3692.91674804688	-6853.0966796875	120	11637.5068359375	19961.421875	-3127.71069335938	610.1669921875	
																																										120.5	-284.8828125	3571.609375	-2988.3984375	-6822.53125	-541.637634277344	4711.43310546875	78.8165969848633	2984.20922851563	120.5	6066.2119140625	12039.1796875	2914.0927734375	-7380.83056640625	7641.294921875	-344.525390625	-9775.5703125	-2716.98071289063	3645.712890625	-6835.32080078125	1536.55969238281	-657.515502929688	120.5	286670.875	517973.03125	-1351.61474609375	1835.69555664063	120.5	171007.75	376845.25	-1712.39978027344	-7317.083984375	120.5	205869.84375	438272.84375	-10879.470703125	-6254.046875	120.5	237342.6875	495856.28125	1878.39855957031	-5679.60546875	120.5	11270.373046875	20541.3125	-2790.06958007813	1102.7431640625	
																																										121	47.23046875	5990.65625	-5374.97265625	-6676.9140625	-67.7988128662109	6629.72119140625	-2460.392578125	1995.51904296875	121	11833.82421875	11730.1806640625	2751.791015625	-6430.9453125	6279.27734375	-2336.7802734375	-2433.54833984375	-2271.67993164063	2972.21557617188	-2905.43725585938	-303.478179931641	-2516.685546875	121	282030.40625	508958.75	-2637.09741210938	-1239.97302246094	121	166905.765625	371155.8125	-2474.65087890625	-7573.3466796875	121	205340.1875	433364.6875	-8436.361328125	-5654.07177734375	121	232278.03125	492632.03125	-1611.94934082031	-5235.1015625	121	11754.306640625	20928.4921875	-1587.44958496094	1178.53002929688	
																																										121.5	611.279296875	4661.21875	-7378.982421875	-7656.1875	545.581848144531	4712.8984375	-4076.90625	279.732055664063	121.5	17122.3203125	11325.4326171875	918.119140625	-5436.5166015625	4366.5859375	-2877.7685546875	4505.00927734375	-1939.3291015625	750.262573242188	867.114501953125	-1971.6923828125	-2763.40576171875	121.5	276881.71875	500902.9375	-3846.99096679688	-4117.79541015625	121.5	163460.515625	367662.5625	-2770.07421875	-5834.3662109375	121.5	204615.015625	427683.125	-5219.896484375	-5900.6044921875	121.5	227813.734375	487906.28125	-4280.29248046875	-6132.21875	121.5	12850.10546875	19784.46875	6.74298095703125	-0.0958251953125	
																																										122	-311.75	1522.7890625	-7920.01171875	-9423.015625	22.4794998168945	780.8984375	-3901.17309570313	-1720.87219238281	122	17712.6328125	10958.2744140625	-326.7744140625	-6051.13427734375	3988.533203125	-1941.63037109375	6316.99169921875	-1611.69885253906	-1015.119140625	2604.73413085938	-2087.57495117188	-1396.6875	122	270727.46875	497089.28125	-5268.53759765625	-3274.44775390625	122	160598.21875	366127.03125	-2444.94677734375	-2547.35034179688	122	202907.3125	421476.65625	-3181.177734375	-6720.3583984375	122	227162.546875	484246.53125	-3331.49243164063	-6538.45654296875	122	13234.341796875	17743.2734375	811.63427734375	-1889.91589355469	
																																										122.5	-2048.25390625	51.890625	-6722.251953125	-10552.796875	-1242.89318847656	-1687.55065917969	-1951.04272460938	-2817.21264648438	122.5	14572.55859375	10525.921875	-798.99609375	-6396.3994140625	5582.369140625	-976.416015625	3416.48559570313	-1337.1884765625	-1667.68591308594	3415.78466796875	-369.869049072266	171.151245117188	122.5	264212	494983.9375	-6462.4033203125	-235.691650390625	122.5	158815.125	364636.71875	-1258.75048828125	409.160400390625	122.5	201169.21875	415898.3125	-2131.04541015625	-7069.458984375	122.5	230658.671875	483389.59375	1344.47766113281	-4867.541015625	122.5	12039.5888671875	16152.4453125	80.1106567382813	-3214.37158203125	
																																										123	-1760.2890625	1370.4765625	-4489.068359375	-10736.21875	-1033.86669921875	-1175.09838867188	789.646301269531	-2658.92016601563	123	11871.6015625	9163.361328125	-2352.830078125	-5387.10693359375	6711.603515625	-205.7119140625	-7.2471923828125	-1705.21057128906	-2473.09643554688	4527.6083984375	1148.51159667969	1267.71032714844	123	258467.390625	492024.25	-6574.39990234375	2217.8232421875	123	158772.65625	361009	1031.73022460938	1011.94091796875	123	198855.171875	411697.875	-2149.50830078125	-6235.4169921875	123	233225.859375	483591.875	5300.8076171875	-2346.81494140625	123	10120.666015625	14890.8828125	-1431.52001953125	-3770.93774414063	
																																										123.5	307.8203125	4009.4140625	-2756.107421875	-11163.671875	761.922485351563	1048.81860351563	2713.92797851563	-2243.53588867188	123.5	10574.6005859375	4672.6826171875	-4336.7177734375	-3723.22290039063	6491.55078125	753.5634765625	-1763.14978027344	-4188.0302734375	-3302.83227539063	5767.3994140625	1300.318359375	2007.07446289063	123.5	253209.421875	487397.375	-5803.39599609375	2697.0068359375	123.5	160108.890625	354749.21875	3895.6953125	-1107.63208007813	123.5	195321.8125	407256.78125	-3347.68579101563	-5406.142578125	123.5	231402.875	482531.78125	4963.76806640625	-1157.27783203125	123.5	8833.1220703125	13606.5078125	-2353.6982421875	-3886.29760742188	
																																										124	1134.015625	5916.5859375	-2908.84765625	-11806.765625	1748.17260742188	2711.75122070313	2563.5224609375	-1917.40966796875	124	11645.583984375	-297.498291015625	-5309.1015625	-890.0400390625	5746.75390625	1919.3193359375	-838.356079101563	-6826.95703125	-3174.681640625	7372.6337890625	594.785766601563	2510.76391601563	124	248489.59375	481434.8125	-4394.0947265625	1444.20349121094	124	161245.84375	349155.0625	5889.5595703125	-3106.53979492188	124	190940.40625	401040.34375	-5162.23046875	-5973.80078125	124	227187.203125	478852.46875	1637.42663574219	-2595.38525390625	124	8639.0078125	12460.4375	-2075.546875	-3668.08447265625	
																																										124.5	40.63671875	6030.7421875	-4070.1328125	-11976.5546875	934.341125488281	2472.57299804688	1082.04541015625	-1334.64245605469	124.5	16629.9140625	344.140380859375	-5738.68359375	1217.06787109375	5034.189453125	2379.443359375	3345.50219726563	-4889.7158203125	-2348.51171875	7947.091796875	-207.189544677734	2269.83520507813	124.5	245661.234375	476327.8125	-1727.69763183594	498.830383300781	124.5	161242.015625	346210.46875	6112.1142578125	-2792.185546875	124.5	186783.765625	394161.9375	-6515.5146484375	-7261.53857421875	124.5	222946.984375	473227.4375	-1877.06762695313	-5914.63720703125	124.5	8592.837890625	12170.3046875	-1347.89501953125	-2772.32666015625	
																																										125	-992.08203125	4164.7890625	-4741.0078125	-12318.03125	-227.199737548828	277.456634521484	-132.458129882813	-902.451721191406	125	20787.3046875	5086.19921875	-6264.3671875	-1344.5400390625	5114.8984375	1212.4091796875	6760.06884765625	799.567138671875	-1488.22644042969	4679.54345703125	-284.728515625	721.843505859375	125	245595.390625	472973.6875	2547.53515625	1039.63793945313	125	157614.046875	342878.96875	3050.64453125	-2097.85498046875	125	183980.6875	387123.4375	-6416.4423828125	-8539.9892578125	125	220333.9375	469616.8125	-3405.17895507813	-7659.4345703125	125	7846.7822265625	12631.203125	-1101.47680664063	-1365.12390136719	
																																										125.5	-751.6015625	1335.5546875	-4760.0234375	-12441.359375	-378.265594482422	-2621.51171875	-507.537841796875	-423.101745605469	125.5	18864.716796875	8056.6328125	-6382.54296875	-6966.021484375	6309.697265625	-609.40966796875	4815.0986328125	5040.1689453125	-493.641906738281	-1113.677734375	645.2705078125	-1281.87561035156	125.5	247310.234375	470459.375	7351.982421875	2444.6982421875	125.5	149193.859375	337633.25	-3580.62573242188	-2706.50903320313	125.5	181678.015625	380686.0625	-5515.173828125	-9006.751953125	125.5	219960.796875	468238.6875	-2308.94995117188	-7001.15185546875	125.5	6434.91796875	12595.7734375	-1499.29174804688	-484.750061035156	
																																										126	-141.82421875	-1063.171875	-4101.111328125	-11490	75.7352905273438	-4626.44677734375	-36.3024444580078	695.599060058594	126	13011.5712890625	6978.2275390625	-5683.44921875	-10991.6015625	7201.521484375	-1652.7978515625	-1030.2880859375	4966.8671875	856.307373046875	-5170.72998046875	1427.85607910156	-2374.80297851563	126	248612.859375	467880.375	10623.34765625	3655.48901367188	126	141223.234375	332868.90625	-9255.03515625	-3243.37915039063	126	178254.375	376338.53125	-5309.109375	-7608.81689453125	126	220149.796875	465787.375	-240.758056640625	-6472.431640625	126	5315.7568359375	12013.9765625	-1781.41809082031	-356.840209960938	
																																										126.5	-609.24609375	-2369.578125	-2991.94140625	-10100.3515625	-99.3510589599609	-4966.13671875	878.630249023438	2003.10949707031	126.5	7319.896484375	3605.70361328125	-5093.5859375	-12166.470703125	6241.203125	-1825.3203125	-6497.23779296875	1893.35852050781	1884.67944335938	-5676.36767578125	696.257263183594	-2275.392578125	126.5	247624.828125	463571.625	10760.1259765625	3212.88793945313	126.5	138518.625	329425.90625	-9513.48828125	-2785.736328125	126.5	174951.671875	372993.46875	-5252.41650390625	-5291.02099609375	126.5	219219.140625	463071.5625	852.033813476563	-6268.4677734375	126.5	5342.2734375	11773.8359375	-1162.39270019531	-288.958740234375	
																																										127	-1622.212890625	-2804.84375	-2136.533203125	-9510.6875	-774.284301757813	-3964.73803710938	1487.34558105469	2463.48022460938	127	4217.7822265625	864.80810546875	-4676.5146484375	-11766.6103515625	4524.81640625	-1890.697265625	-8538.5126953125	-978.630737304688	2414.80493164063	-3749.91479492188	-831.974243164063	-1695.93115234375	127	244290.125	456497.09375	8011.1787109375	416.555603027344	127	139677.765625	325561.71875	-5277.0146484375	-2428.67236328125	127	173309.453125	368489.0625	-4151.208984375	-4067.04321289063	127	215989.25	462316.90625	-218.502685546875	-4973.6787109375	127	5687.0732421875	11744	-193.496002197266	-152.612548828125	
																																										127.5	-1630.02734375	-3505.25	-2073.416015625	-9724.4765625	-760.409484863281	-2860.12622070313	1263.47814941406	1957.06848144531	127.5	5484.7998046875	-164.449462890625	-3413.48828125	-10851.25390625	4325.17578125	-1969.720703125	-5790.21435546875	-1872.67944335938	3164.82421875	-1116.0849609375	-1196.66674804688	-1074.63159179688	127.5	240036.484375	448593.0625	4203.70068359375	-2961.47631835938	127.5	139950.21875	320849.5625	-1213.38000488281	-2732.51684570313	127.5	171975.1875	362489.59375	-2829.39306640625	-4534.34912109375	127.5	213183.640625	463716.5	-1394.65661621094	-2342.10546875	127.5	5200.009765625	11917.2421875	87.359375	85.78857421875	
																																										128	-689.162109375	-4671.90625	-2551.595703125	-9493.25	91.9336853027344	-2221.52905273438	437.083892822266	1520.92541503906	128	8464.3828125	-313.86865234375	-2425.2646484375	-8130.55615234375	5455.169921875	-1562.46923828125	-952.031982421875	-1248.7783203125	3503.97338867188	2266.99658203125	-205.450836181641	-256.686096191406	128	236794.234375	442853.0625	1562.80249023438	-4145.5791015625	128	137377.140625	317151.96875	-146.197631835938	-2479.10302734375	128	170115.203125	357800.21875	-2141.65942382813	-4577.41015625	128	214197.859375	464659.59375	265.453796386719	-412.69189453125	128	3772.4931640625	12212.3046875	-553.313537597656	337.215576171875	
																																										128.5	-40.8515625	-5584.0625	-2697.103515625	-8187.859375	793.120178222656	-1649.52661132813	-158.030776977539	1876.89965820313	128.5	8385.224609375	385.911865234375	-3699.8876953125	-3626.8525390625	6027.970703125	-592.564453125	1292.29797363281	310.736206054688	2033.01940917969	6076.01318359375	603.67431640625	781.288940429688	128.5	235804.984375	439104.6875	1372.99243164063	-2922.35546875	128.5	134338.8125	314183.84375	-666.8310546875	-1671.25341796875	128.5	168139.453125	356108.375	-1959.57373046875	-2552.11059570313	128.5	215614.015625	460263.8125	2612.68823242188	-2928.71435546875	128.5	2123.18359375	11258.6953125	-1470.28686523438	-364.956726074219	
																																										129	-425.333984375	-6070.515625	-2559.162109375	-6995.671875	569.882080078125	-902.178466796875	-340.71484375	2251.30419921875	129	7174.89453125	3038.0341796875	-5981.91796875	-935.7919921875	5981.095703125	164.8740234375	1404.97216796875	3026.89892578125	-326.724822998047	7630.4375	744.938110351563	1458.302734375	129	235314.703125	435052.625	2220.06298828125	-1372.138671875	129	132919.8125	309630.375	-537.833740234375	-1981.49072265625	129	163755	353811.59375	-3684.71850585938	-926.58935546875	129	213004.625	449825.5625	1869.09411621094	-10280.8544921875	129	886.6875	9601.1015625	-1943.64855957031	-1671.02880859375	
																																										129.5	-1065.330078125	-6517.640625	-2563.822265625	-7401.5625	-69.4103240966797	-207.431701660156	-425.150085449219	1412.81469726563	129.5	8442.306640625	6463.361328125	-6508.16015625	-767.638671875	5697.234375	-252.8193359375	2405.09448242188	5776.1982421875	-1198.04479980469	6229.2265625	447.007019042969	1037.68994140625	129.5	232257.84375	430229.25	1343.51440429688	-572.960815429688	129.5	133348.875	304142.71875	975.656494140625	-3165.12329101563	129.5	156619.8125	347859.3125	-7386.0673828125	-2386.81298828125	129.5	207573.296875	439931.625	-1535.85034179688	-16773.9140625	129.5	379.5703125	9049.2421875	-1628.73571777344	-2098.10083007813	
																																										130	-639.107421875	-6808.0703125	-2576.4296875	-9509.015625	24.7389221191406	442.531402587891	-443.39453125	-762.153137207031	130	7864.73046875	8154.216796875	-5657.23828125	-299.005859375	5411.7421875	-1247.36865234375	2099.00390625	6491.83056640625	-468.716613769531	4291.4833984375	64.4256057739258	-14.2447967529297	130	227860.875	424269.78125	-810.029663085938	-976.47119140625	130	134681.578125	299891.40625	3096.6943359375	-3490.07690429688	130	152111.671875	340088.5	-8891.6220703125	-5739.978515625	130	204177.25	437293.84375	-3527.53833007813	-16253.96875	130	1157.275390625	8679.328125	-256.850463867188	-2032.54663085938	
																																										130.5	786.185546875	-5819.8671875	-2597.138671875	-11715.15625	974.298095703125	1775.21130371094	-437.421325683594	-2850.81787109375	130.5	1135.7734375	7424.216796875	-6081.9375	1599.94384765625	6008.478515625	-2479.42822265625	-2581.36889648438	4601.6953125	-259.504089355469	3463.98388671875	350.132110595703	-1159.57019042969	130.5	225816.890625	416567.09375	-1288.09191894531	-2787.21923828125	130.5	134500.203125	297219.21875	3721.4482421875	-2415.41821289063	130.5	152808.703125	333790.84375	-5788.3671875	-7903.3408203125	130.5	205424.421875	440485.53125	-1419.48400878906	-9561.0576171875	130.5	2921.337890625	7704.09375	1728.1103515625	-2198.8837890625	
																																										131	2116.01171875	-3647.2265625	-2848.80078125	-11632.09375	1858.5234375	3712.89868164063	-570.24267578125	-2782.96069335938	131	-7682.9208984375	6228.482421875	-7741.00390625	3188.341796875	6677.357421875	-4790.763671875	-8637.7451171875	1937.04187011719	-1052.9189453125	2862.28759765625	803.750915527344	-2728.33325195313	131	225744.96875	409554.5625	154.137939453125	-3989.27954101563	131	131436	294234.875	1636.32934570313	-1394.32104492188	131	154036.96875	330811.46875	-1682.62060546875	-6916.427734375	131	207736.140625	442186.25	2164.54736328125	-3543.65966796875	131	3977.521484375	7256.4609375	2842.9306640625	-2010.56677246094	
																																										131.5	2448.71484375	-1628.75	-3148.74609375	-9660.671875	1781.3623046875	5135.705078125	-721.120910644531	-742.750854492188	131.5	-12995.4052734375	7057.7880859375	-8073.173828125	3717.7646484375	5747.845703125	-6028.48388671875	-11011.05859375	981.839111328125	-1055.88427734375	1694.39147949219	115.767860412598	-3203.54467773438	131.5	225018.609375	405081.40625	1387.98681640625	-2878.96704101563	131.5	127712.5234375	289398.53125	-1309.87731933594	-1902.142578125	131.5	151163.5	330518.09375	-1082.44067382813	-3401.05517578125	131.5	205890.875	438391.46875	2496.7685546875	-2983.99780273438	131.5	2980.5	7223.3515625	1935.78295898438	-1494.6640625	
																																										132	2101.650390625	-454.890625	-2648.017578125	-7501.4375	913.945068359375	5332.10693359375	-278.043792724609	1547.26513671875	132	-14962.9091796875	9418.39453125	-6974.603515625	4037.7392578125	3240.716796875	-4324.89111328125	-9109.509765625	1762.27978515625	131.798126220703	415.475463867188	-1787.02966308594	-1187.3359375	132	222453.828125	401734.375	994.546997070313	-491.865295410156	132	126129.203125	283724.40625	-2401.44873046875	-3328.7958984375	132	146518.8125	329625.46875	-2978.5078125	-494.51513671875	132	200083.3125	431918.5	-949.424194335938	-6164.06982421875	132	645.55078125	6532.1328125	-329.323364257813	-1446.20764160156	
																																										132.5	1872.400390625	-332.6875	-1437.53125	-6176.4609375	57.150634765625	4229.21044921875	712.632995605469	2737.22192382813	132.5	-15469.224609375	10434.921875	-6186.037109375	3418.435546875	1071.0703125	-2750.1982421875	-5063.373046875	1923.78283691406	1189.9306640625	-1285.2568359375	-3303.29833984375	1000.66052246094	132.5	218912.21875	398486.6875	-501.310302734375	1802.123046875	132.5	125866.640625	278626.75	-1779.73669433594	-4294.11572265625	132.5	144416.234375	326805.375	-3571.78735351563	23.3505859375	132.5	195284.21875	427784.0625	-4017.45361328125	-8181.18359375	132.5	-990.140625	5189.625	-1988.39636230469	-1968.52319335938	
																																										133	1298.439453125	-1122.0625	-1084.740234375	-6682.8203125	-824.475402832031	2257.6181640625	1031.11950683594	1968.16442871094	133	-13760.373046875	8827.87109375	-5897.486328125	2144.416015625	741.38671875	-2984.60498046875	288.6884765625	42.5599899291992	1607.33642578125	-3106.33935546875	-3000.78173828125	1484.96130371094	133	216006.953125	394406.25	-1546.3134765625	2875.75073242188	133	124364.3203125	274836.09375	-1609.51513671875	-3955.400390625	133	144097.71875	323224.25	-2488.0234375	-1056.55712890625	133	194356.53125	426595.25	-3530.96655273438	-7306.232421875	133	-1149.775390625	3903.6640625	-2027.16064453125	-2476.787109375	
																																										133.5	-79.43359375	-2923.5078125	-1989.34375	-8276.265625	-1991.65905761719	-235.559020996094	214.073532104492	15.4691009521484	133.5	-8916.2216796875	7126.1083984375	-6364.404296875	2263.505859375	1524.5654296875	-2642.6708984375	6740.4267578125	-2083.603515625	1164.0830078125	-3499.89013671875	-1380.83935546875	1667.84594726563	133.5	214377.34375	388081.8125	-1301.26538085938	1709.9267578125	133.5	120657.6796875	271853.15625	-3097.603515625	-2714.56005859375	133.5	142690.390625	317517.5	-1897.58618164063	-3974.93969726563	133.5	195010.609375	425685.03125	-897.477783203125	-5480.271484375	133.5	-350.134765625	3313.390625	-872.495971679688	-2355.8603515625	
																																										134	-1451.10546875	-6058.7578125	-2840.58203125	-9323.9765625	-2880.88598632813	-3145.689453125	-711.241394042969	-1432.87646484375	134	-1163.7021484375	6904.248046875	-7671.26171875	2427.119140625	1936.826171875	-1178.2783203125	13619.015625	-2754.3115234375	-24.5551910400391	-3266.18090820313	49.3708992004395	2362.1328125	134	213133.453125	380797.03125	-418.854339599609	-516.71044921875	134	116169.5078125	269015.5	-5230.25439453125	-1402.19750976563	134	139954.28125	309498.8125	-2531.91162109375	-8297.5947265625	134	194234.625	424411.1875	855.770263671875	-4043.54028320313	134	1009.845703125	3573.671875	737.096923828125	-1470.20825195313	
																																										134.5	-2209.373046875	-8969.8515625	-3288.859375	-8867.4375	-2979.83813476563	-5201.40869140625	-1157.67102050781	-1301.63195800781	134.5	5747.3935546875	5937.765625	-8582.958984375	-445.7236328125	2390.623046875	-700.5546875	17924.126953125	-3237.04345703125	-860.433166503906	-4820.6142578125	1101.03662109375	2310.24194335938	134.5	209903.109375	374732.84375	-872.218627929688	-1670.36853027344	134.5	113644.8046875	266338.5	-5637.2275390625	-335.422119140625	134.5	137561.9375	303109.78125	-3242.54248046875	-10777.861328125	134.5	193082.6875	423350.40625	1632.20031738281	-3058.88305664063	134.5	1882.720703125	3905.546875	1685.6171875	-518.89208984375	
																																										135	-2379.826171875	-9790.03125	-3791.45703125	-7402.625	-2336.82006835938	-4948.146484375	-1332.9794921875	5.01889801025391	135	7639.673828125	3102.20263671875	-8560.220703125	-4648.15478515625	3766.35546875	-987.099609375	16507.443359375	-4644.1240234375	-726.615966796875	-7234.697265625	2336.90795898438	1506.59680175781	135	205033.5625	370861.625	-2673.28881835938	-686.177124023438	135	113251.171875	262934.9375	-3893.06079101563	-189.418212890625	135	135511.4375	301268.0625	-3656.05419921875	-8931.2548828125	135	194894.59375	422191.25	3791.76928710938	-2687.47290039063	135	1139.29296875	3519.0625	1024.02587890625	-286.399291992188	
																																										135.5	-2631.818359375	-8707.9609375	-3886.71875	-6500.09375	-1610.98559570313	-2660.64916992188	-1047.61962890625	971.695678710938	135.5	8226.5927734375	108.64013671875	-7327.802734375	-5719.64453125	4687.5078125	-223.2861328125	12377.9228515625	-5929.86279296875	509.792785644531	-7011.5419921875	2931.42163085938	1321.32543945313	135.5	202527.578125	367873.21875	-2785.20361328125	1319.50354003906	135.5	112344.4453125	260198.078125	-2192.94091796875	18.46142578125	135.5	131803.9375	301868	-5010.62548828125	-4551.2060546875	135.5	198461.703125	419042.8125	6830.4619140625	-4060.412109375	135.5	-266.123046875	2566.5078125	-454.247894287109	-741.18212890625	
																																										136	-4099.505859375	-6007.2578125	-3169.69140625	-6634.953125	-1800.23095703125	833.179382324219	-124.414215087891	869.480834960938	136	11603.16015625	-849.99365234375	-4999.57421875	-3802.9521484375	3865.0234375	968.435546875	9887.5947265625	-5334.98388671875	2487.484375	-3862.998046875	1958.69274902344	1577.68054199219	136	203095.46875	364092.375	-260.881469726563	2567.7685546875	136	109448.3359375	259189.125	-2219.34057617188	1248.02905273438	136	125835.4609375	299551.71875	-7779.0146484375	-2501.41357421875	136	198290.390625	412794.375	6687.783203125	-7746.50830078125	136	-1025.181640625	1781.75	-1393.37707519531	-1203.32568359375	
